graph, top 5 similarity, ranking
Minesweeper,0.5,25,21,8,7,6,22,4,9,2,3,13,5,1,16,0,12,14,15,11,10,18,24,17,20,23,19
Roman-empire,0.5,25,21,8,7,6,22,4,9,3,2,13,5,16,1,11,14,15,12,0,10,18,24,20,17,23,19
Amazon-ratings,0.3333333333333333,25,21,6,22,8,7,4,9,5,3,13,2,11,16,10,15,20,14,12,1,18,0,19,24,23,17
Cora,0.2,25,4,21,6,22,5,8,7,9,20,3,13,11,10,16,19,15,14,18,12,2,0,1,23,17,24
CiteSeer,0.5,25,21,6,22,8,7,4,9,5,3,13,2,16,11,10,15,14,20,12,1,0,18,19,24,23,17
PubMed,0.09090909090909091,20,19,5,4,23,9,10,11,18,15,13,14,16,3,6,12,22,21,0,17,1,8,7,2,24,25
Photo,0.5,20,19,5,4,23,9,10,11,18,15,13,14,16,3,6,12,22,21,0,17,1,8,7,2,24,25
Computers,0.09090909090909091,19,20,5,4,23,10,11,18,9,15,13,14,16,3,12,17,6,0,22,1,21,8,7,24,2,25
CS,0.3333333333333333,25,4,5,20,19,21,6,9,22,8,13,7,3,11,10,15,16,14,18,23,12,0,1,2,17,24
Physics,0.5,25,4,5,20,21,6,19,22,9,8,7,13,3,11,10,15,16,14,18,23,12,0,1,2,17,24
Cora_ML,0.5,25,5,4,20,19,9,21,6,22,13,10,11,3,15,18,16,14,8,23,7,12,0,1,17,2,24
DBLP,0.09090909090909091,25,4,5,20,19,9,21,6,22,13,10,11,3,8,15,18,16,7,14,23,12,0,1,17,2,24
USA,0.3333333333333333,25,7,8,21,22,6,2,24,9,3,1,0,13,12,16,4,14,15,11,10,17,18,5,23,20,19
Barabasi_300_8_path_100_28_1.pickle,0.5,25,21,6,4,22,8,7,5,9,3,13,20,11,10,16,15,14,2,12,18,1,0,19,23,24,17
Barabasi_200_5_path_50_12_1.pickle,0.3333333333333333,25,21,6,22,4,8,7,5,9,3,13,20,11,10,16,15,14,2,12,18,1,0,19,23,24,17
Barabasi_100_5_grid_50_11_3.pickle,0.2,25,21,8,7,6,22,4,9,3,5,13,2,16,11,15,14,10,12,1,0,18,20,24,17,23,19
Barabasi_300_8_house_100_30_2.pickle,0.2,25,21,6,22,8,7,4,9,5,3,13,11,2,16,10,20,15,14,12,18,1,0,19,24,23,17
Barabasi_200_5_star_50_12_4.pickle,0.3333333333333333,25,4,21,6,22,5,8,7,9,20,3,13,11,10,16,19,15,14,18,12,2,0,1,23,17,24
Erdos_500_10000_house_300_121_2.pickle,0.3333333333333333,25,21,6,22,8,7,4,9,5,3,13,2,16,11,10,15,14,12,20,1,0,18,19,24,23,17
Erdos_500_10000_grid_300_139_3.pickle,0.5,25,21,8,6,7,22,4,9,5,3,13,2,16,11,15,10,14,12,1,0,18,20,24,17,19,23
Erdos_500_10000_star_300_115_4.pickle,0.7142857142857143,25,4,21,5,6,22,8,7,9,20,3,13,19,11,10,16,15,14,18,12,0,1,2,23,17,24
Barabasi_1100_15_house_200_176_2.pickle,0.3333333333333333,25,4,21,6,5,22,8,7,9,20,3,13,19,11,10,16,15,14,18,12,0,1,2,23,17,24
Barabasi_1100_15_star_200_172_4.pickle,0.3333333333333333,25,4,5,20,21,6,19,9,22,8,7,13,3,11,10,15,16,14,18,23,12,0,1,2,17,24
Barabasi_1100_15_cycle_200_176_5.pickle,0.2,25,4,21,6,22,5,8,7,9,20,3,13,11,10,16,15,19,14,18,12,2,0,1,23,17,24
Erdos_1000_16500_path_500_190_1.pickle,0.7142857142857143,25,21,6,22,8,7,4,9,5,3,13,11,20,16,10,2,15,14,12,18,1,0,19,23,24,17
Erdos_1000_40000_house_600_2210_506.pickle,0.5,25,4,5,21,6,22,20,9,8,7,19,13,3,11,10,15,16,14,18,12,0,1,23,2,17,24
Erdos_850_17000_path_360_188_1.pickle,0.5,25,21,6,22,8,4,7,5,9,3,13,20,11,10,16,15,14,2,12,18,1,0,19,23,24,17
Erdos_850_17000_house_360_195_2.pickle,0.3333333333333333,25,21,6,22,8,7,4,9,5,3,13,2,16,11,10,15,14,12,20,1,0,18,19,24,23,17
Erdos_850_17000_grid_360_216_3.pickle,0.7142857142857143,25,21,8,6,7,22,4,9,5,3,13,2,16,11,15,10,14,12,1,0,18,20,24,17,19,23
Erdos_5500_22000_house_1000_290_1.pickle,0.3333333333333333,25,21,8,7,6,22,4,9,3,5,2,13,16,11,15,14,10,1,12,0,18,24,20,17,23,19
Erdos_5500_26000_path_1100_315_16.pickle,0.3333333333333333,25,21,8,6,7,22,4,9,5,3,13,2,16,11,15,10,14,12,1,0,18,20,24,17,19,23
Erdos_6500_22000_house_1000_290_18.pickle,0.7142857142857143,25,21,8,7,6,22,4,9,3,5,2,13,16,11,15,14,10,1,12,0,18,24,20,17,23,19
Barabasi_4000_10_star_800_439_4.pickle,0.3333333333333333,25,4,5,20,21,19,6,9,22,8,7,13,3,11,10,15,16,14,18,23,12,0,1,2,17,24
Barabasi_6000_15_path_1000_947_1.pickle,0.7142857142857143,25,4,5,20,21,6,22,9,19,8,7,13,3,11,10,15,16,14,18,23,12,0,1,2,17,24
Barabasi_8500_19_house_1300_1702_2.pickle,0.3333333333333333,25,4,5,20,21,6,22,9,19,8,7,13,3,11,10,15,16,14,18,12,23,0,1,2,17,24
Barabasi_8000_18_path_1200_1496_1.pickle,0.7142857142857143,25,4,5,20,19,21,6,9,22,8,13,7,3,11,10,15,16,14,18,23,12,0,1,2,17,24
Barabasi_6500_15_star_1000_1022_4.pickle,0.7142857142857143,25,4,5,20,19,9,21,6,22,13,10,11,3,8,15,18,16,7,14,23,12,0,1,17,2,24
Barabasi_18000_30_star_2100_5496_4.pickle,0.09090909090909091,20,5,19,4,25,9,10,11,23,13,6,18,21,15,3,22,16,14,12,8,7,0,1,17,2,24
Barabasi_18000_30_house_2100_5538_2.pickle,0.5,25,4,5,20,19,9,21,6,22,13,10,11,3,15,8,18,16,14,7,23,12,0,1,17,2,24
Barabasi_18000_30_path_2100_5496_1.pickle,0.3333333333333333,25,5,20,4,19,9,6,21,10,11,22,13,23,3,18,15,16,14,8,7,12,0,1,17,2,24
Barabasi_20000_32_star_2300_6504_4.pickle,0.2,20,5,19,4,9,23,10,11,13,25,18,6,15,3,21,16,14,22,12,8,7,0,1,17,2,24
Erdos_20000_252000_grid_2350_2825_3.pickle,0.3333333333333333,25,21,8,7,6,22,4,9,3,5,2,13,16,11,15,14,10,1,12,0,18,20,24,17,23,19
Erdos_20000_252000_star_2350_2637_4.pickle,0.5,25,21,6,22,8,7,4,9,5,3,13,2,16,11,10,15,14,20,12,1,0,18,19,24,23,17
Erdos_20000_252000_path_2350_2637_1.pickle,0.5,25,21,6,8,22,7,4,9,5,3,13,2,16,11,10,15,14,12,1,0,18,20,24,19,17,23
Erdos_20000_252000_house_2350_2684_2.pickle,0.5,25,21,8,7,6,22,4,9,3,5,13,2,16,11,15,10,14,12,1,0,18,20,24,17,19,23
